channel,start_position,f_stat,p_value
019,31,0.9848120276507418,0.42168551117465425
019,32,3.7094829025132663,0.009516094781556126
019,33,1.400676396268926,0.24445707126775565
019,34,2.3451134138848824,0.06434614650127805
019,35,6.84720463723196,0.00013121847571371338
019,36,0.6890337083512511,0.6023454484898785
023,31,0.5441514624285658,0.7038404039856516
023,32,1.018897848973293,0.4055549890771535
023,33,1.0689357554966574,0.3796969047117052
023,34,0.9076673559145818,0.46514258831245825
023,35,0.9325686037123747,0.45127139375987735
023,36,0.7179847492119888,0.582917621111784
029,31,1.8895247993322333,0.12207888322194535
029,32,2.357570341001759,0.06449210310129767
029,33,1.64096509756246,0.1755104204657196
029,34,3.6016808827125275,0.010530432095831778
029,35,4.45753880305169,0.0032079328853174527
029,36,1.6574087286193206,0.17152956267862102
030,31,1.88895736377196,0.12217824590166243
030,32,1.938529351766874,0.11668910035686393
030,33,0.4138062317023813,0.7980310839155209
030,34,2.2196220756541787,0.07707193786235608
030,35,3.276041932770145,0.0170188703210132
030,36,0.9629790043200046,0.43437246519147676
043,31,1.4728445647707065,0.21990418355352914
043,32,1.3489933537281606,0.263349575190008
043,33,1.2253012252447506,0.3094857769277687
043,34,0.933502075268457,0.45051290375101416
043,35,0.17388335174771294,0.9509642689114904
043,36,0.41170170200991335,0.799537595214349
045,31,1.2661395736836083,0.29171530026284087
045,32,4.316101545819453,0.004101690209427782
045,33,0.0703554364559531,0.9907408524633878
045,34,2.6273551235745165,0.042828451651240065
045,35,2.1238883339383556,0.08885727046305286
045,36,1.4616577106856958,0.22491598225076245
