channel,start_position,f_stat,p_value
019,31,1.3262298550960765,0.2727944195150733
019,32,5.872593447711463,0.004758814587342653
019,33,1.6194859992981636,0.20613389967333778
019,34,3.175726329502897,0.030082910255316758
019,35,9.276382992023494,3.8360045862495176e-05
019,36,0.5306113096837627,0.6629534937716843
023,31,0.5893524497100173,0.6240137342784049
023,32,0.1741695644010967,0.8405922036136129
023,33,0.37355662522869826,0.6897962673551312
023,34,1.2247578086173314,0.30812947703957433
023,35,1.0821076906434193,0.36346149221293794
023,36,0.22646395629857347,0.8776391352473967
029,31,2.509392615598029,0.06577233671494828
029,32,4.287212754913341,0.018344100312016713
029,33,0.7597422701503607,0.47202424076681837
029,34,4.780031646847124,0.004593520087843557
029,35,5.7571600691719125,0.0015559534470204485
029,36,0.7645832964664484,0.518229408563285
030,31,2.5217935463341847,0.06479063216404751
030,32,3.9094625170410175,0.025541067629187883
030,33,0.3085128476955525,0.73564188799582
030,34,2.8647771711056285,0.04360835823594327
030,35,4.3623855787801356,0.007551438702929907
030,36,0.8853186391045348,0.45374985154173353
043,31,1.9888973759414421,0.12354736844608409
043,32,1.1570800863268267,0.32155298726936143
043,33,0.12859477450916856,0.879560436098328
043,34,1.146929088944898,0.33714864969423314
043,35,0.16052710667463388,0.9224808972785083
043,36,0.2293286547926683,0.8756303059066808
045,31,1.4883014187039572,0.22523023053664806
045,32,4.404135484869127,0.016570479699743394
045,33,0.1427702784994543,0.8672329028537326
045,34,3.4847640599736085,0.020838268401803292
045,35,2.8729931302543417,0.04346115196063621
045,36,1.2278346442763928,0.3071776241908515
