channel,start_position,t_stat,p_ttest
019,31,-1.0675885501576063,0.2944113733935111
019,32,4.527217694608939,6.151596737995118e-05
019,33,-1.8643875084631227,0.07497282160644494
019,34,-0.3251672084149089,0.747833838425672
019,35,3.781872221742979,0.0008271180482416787
019,36,0.40674236215406245,0.6908649895583716
023,31,-0.11915293460027161,0.9059614889330916
023,32,-0.3737706250032507,0.7106933399690676
023,33,-1.7279386718448477,0.09508770970364805
023,34,-0.9040868601345092,0.37279975045424407
023,35,1.722549624177202,0.09627554704643614
023,36,0.6996744730154395,0.4958313428214056
029,31,-1.2195607530601815,0.2321987401542469
029,32,2.8119605046505267,0.009026131988295608
029,33,-2.1632741761532306,0.040071088032186654
029,34,0.8255244931113207,0.41798600084408855
029,35,1.71488378835181,0.09764727692768954
029,36,1.0057871777221958,0.32659596747710573
030,31,-0.8029686885241494,0.4270162312856981
030,32,2.303023250250358,0.028227107079646017
030,33,-1.0487147714077292,0.3051411239076979
030,34,-0.32040073424234966,0.7519777605376792
030,35,1.9918391749913265,0.05507804876989502
030,36,0.6135276713362902,0.5495778527472255
043,31,0.17519640612541432,0.8622774440301983
043,32,0.2590648187599785,0.7985339901211413
043,33,-1.2253494020234057,0.23146885718992105
043,34,0.6335668110339266,0.5315834217840512
043,35,0.3926700215748938,0.6972555952988313
043,36,0.04975705697443715,0.9609263662469114
045,31,1.022070964203269,0.31436863194696923
045,32,0.7390561500127313,0.46714114185783884
045,33,0.14659608307851063,0.8849692565944516
045,34,1.0939537055201796,0.2827048860019555
045,35,0.8653476106858533,0.392218813792122
045,36,0.7854491033375557,0.4442891387977236
