channel,start_position,group1,group2,mean_diff,t_stat,p_uncorrected,p_bonf,reject
019,31,12,13,0.3791253390099323,0.42996284837200704,0.6705167676764212,1.0,False
019,31,12,14,-0.5384157695034295,-0.5358889220873768,0.5963164578969624,1.0,False
019,31,12,15,-0.44107286510520893,-0.40985250143753404,0.6882141036158005,1.0,False
019,31,12,16,-0.6262456488165267,-0.6719913222583315,0.5062688522107484,1.0,False
019,31,13,14,-0.9175411085133618,-0.9027402730387961,0.3743679238763358,1.0,False
019,31,13,15,-0.8201982041151412,-0.7544915591709338,0.4629202412732165,1.0,False
019,31,13,16,-1.005370987826459,-1.0644410861719964,0.29487512479316624,1.0,False
019,31,14,15,0.09734290439822058,0.08187000573911603,0.9356763686953211,1.0,False
019,31,14,16,-0.08782987931309716,-0.0828422213270534,0.9344917889082324,1.0,False
019,31,15,16,-0.18517278371131773,-0.1641374768910837,0.8716514905232473,1.0,False
019,32,11,13,-1.6482441088598776,-2.0842728828828045,0.05090524717726954,0.5090524717726954,False
019,32,11,14,-2.347045460679068,-3.0151021791708477,0.005998940573203201,0.059989405732032014,False
019,32,11,15,-0.46285935923501675,-0.6680627269798612,0.5106400017824007,1.0,False
019,32,11,16,-0.12800088955358824,-0.14308097068386316,0.8883296023926703,1.0,False
019,32,13,14,-0.6988013518191902,-0.7717831444210246,0.4482886289284801,1.0,False
019,32,13,15,1.1853847496248608,1.4230312261934106,0.1703747222518941,1.0,False
019,32,13,16,1.5202432193062894,1.5095770284169057,0.1499006167867932,1.0,False
019,32,14,15,1.884186101444051,2.2942486294139006,0.030930147141567194,0.30930147141567194,False
019,32,14,16,2.2190445711254796,2.2248715817008207,0.039496718958250514,0.39496718958250515,False
019,32,15,16,0.3348584696814285,0.35924542868010634,0.7244875175814428,1.0,False
019,33,11,12,-1.601528666184989,-2.2358591639397494,0.03637332672080134,0.3637332672080134,False
019,33,11,14,0.1417912936932746,0.21008348931788218,0.8352775659199149,1.0,False
019,33,11,15,0.24710654066250992,0.3119469602076015,0.7585000482458132,1.0,False
019,33,11,16,0.27924665895247447,0.35471585388780275,0.7267104385477094,1.0,False
019,33,12,14,1.7433199598782636,2.2044073667992907,0.03764319868780481,0.3764319868780481,False
019,33,12,15,1.848635206847499,2.0702295389261844,0.050621145501818475,0.5062114550181848,False
019,33,12,16,1.8807753251374635,2.116523293951712,0.046063410323950775,0.46063410323950776,False
019,33,14,15,0.10531524696923533,0.1224402411475785,0.9036715910615005,1.0,False
019,33,14,16,0.13745536525919988,0.16064941756944573,0.8738414347572363,1.0,False
019,33,15,16,0.03214011828996455,0.03380263201566069,0.9733393771464784,1.0,False
019,34,11,12,-2.8420760392423112,-1.9576788895924782,0.07176888131631229,0.7176888131631229,False
019,34,11,13,-0.6187923584524455,-0.5063844643747121,0.6176803201725791,1.0,False
019,34,11,15,-1.7701822284987347,-1.776041780547302,0.08985403886931728,0.8985403886931729,False
019,34,11,16,-0.25354226995921003,-0.26789013151354596,0.7918248653321931,1.0,False
019,34,12,13,2.2232836807898657,1.4769494829834977,0.1613253588052679,1.0,False
019,34,12,15,1.0718938107435765,0.8065585966612364,0.4380749388940429,1.0,False
019,34,12,16,2.588533769283101,2.003964616902314,0.0751436544259637,0.751436544259637,False
019,34,13,15,-1.1513898700462892,-1.0728356142275255,0.29630560067250833,1.0,False
019,34,13,16,0.3652500884932355,0.35574657349682837,0.7264490363373202,1.0,False
019,34,15,16,1.5166399585395247,2.0370592718177214,0.04974149334644955,0.4974149334644955,False
019,35,11,12,0.277199123057402,0.33532357393310785,0.7401815495958333,1.0,False
019,35,11,13,2.0022356870087803,2.926081638968697,0.006639667751853074,0.06639667751853073,False
019,35,11,14,0.9052704400133385,1.0349291449288878,0.3194637296318514,1.0,False
019,35,11,16,-0.8324372072814539,-1.1280543048269696,0.27183786582423175,1.0,False
019,35,12,13,1.7250365639513783,2.0796287812721883,0.04747815096782621,0.4747815096782621,False
019,35,12,14,0.6280713169559364,0.6328483323859092,0.5349818376969537,1.0,False
019,35,12,16,-1.109636330338856,-1.2691829751054942,0.21654925128622277,1.0,False
019,35,13,14,-1.0969652469954418,-1.2502549966742236,0.23255630723214252,1.0,False
019,35,13,16,-2.834672894290234,-3.8248983944068162,0.0008829740544836525,0.008829740544836526,True
019,35,14,16,-1.7377076472947923,-1.889094785933077,0.07947619205309189,0.7947619205309189,False
019,36,11,12,0.8142432287552941,0.8811863946411183,0.39083234255587207,1.0,False
019,36,11,13,0.7760202496814061,1.0520450331599225,0.3045296771200915,1.0,False
019,36,11,14,1.2993086799293243,2.0208644154934983,0.05231409171382693,0.5231409171382693,False
019,36,11,15,-0.04849690128308559,-0.06220825774358291,0.9509678398055972,1.0,False
019,36,12,13,-0.03822297907388794,-0.038716676264846386,0.9695386068071306,1.0,False
019,36,12,14,0.4850654511740302,0.5280123195424258,0.6046783597075911,1.0,False
019,36,12,15,-0.8627401300383797,-0.8466700855906947,0.40749031643053857,1.0,False
019,36,13,14,0.5232884302479182,0.7159555358580869,0.48211803425033073,1.0,False
019,36,13,15,-0.8245171509644917,-0.9659599097571784,0.3450748140046117,1.0,False
019,36,14,15,-1.34780558121241,-1.743107699231528,0.09606932475646349,0.9606932475646348,False
023,31,12,13,0.7225638743657488,0.8848189434874263,0.38379530493411773,1.0,False
023,31,12,14,0.6344406450293505,0.7832650592772811,0.43986070906423835,1.0,False
023,31,12,15,1.5105227538431079,1.33936747385774,0.20472014755054008,1.0,False
023,31,12,16,0.17751774372281837,0.24075058691731224,0.8114948008516304,1.0,False
