channel,start_position,f_stat,p_value
019,31,0.4157664115360622,0.7964081331650352
019,32,0.3545357902197024,0.8387341809481328
019,33,0.599829780335576,0.6652904056872218
019,34,0.9055334164259118,0.47105551088602726
019,35,1.1117021276595744,0.3693144387248808
019,36,3.337614549334673,0.01820374915397708
023,31,1.2826585196233231,0.29389755165381515
023,32,0.3260991730401318,0.8584254723257029
023,33,0.7404006921246018,0.5712632578258827
023,34,0.5098064046348916,0.7287956899024794
023,35,1.710583450553483,0.1727933372827248
023,36,3.1247870066352936,0.02638934181880333
029,31,1.1680451084425352,0.33860204716789494
029,32,0.3518036174686963,0.8408196578456185
029,33,1.60436129425843,0.19150996006853593
029,34,0.33892425434518264,0.8498844957424743
029,35,0.8968641667587199,0.4772793137058441
029,36,0.3448952922130695,0.8455684044425604
030,31,1.2600983507184693,0.30039011043385544
030,32,1.3211355260661073,0.2832629565558559
030,33,0.38353186351340396,0.8191855623022727
030,34,1.0199700152612727,0.408392001427803
030,35,3.192910351913691,0.0228889622569006
030,36,0.3888216115004149,0.8153254639618128
043,31,1.3027241930215898,0.29221410450344454
043,32,2.2454139057519615,0.0916215554036577
043,33,1.063369397217929,0.3952726000440541
043,34,1.3323741279473174,0.2844196478809413
043,35,1.6474499117100732,0.19975240783668094
043,36,0.8929410882176436,0.4873005782369709
045,31,1.652462835953139,0.1912614109584433
045,32,0.6710526315789473,0.6209887749675502
045,33,0.14372246696035243,0.9642221546652169
045,34,0.7383497776071889,0.5763143074600391
045,35,0.8086529884032113,0.540014617152037
045,36,1.337394110528439,0.290668662344152
