channel,start_position,test_type,group1,group2,f_stat,p_value,mean_diff,p_adj,lower,upper,reject
019,31,T-test (Bonferroni),Cue 12,Control,,0.029035564701730163,1.0099813574411247,0.14517782350865083,,,False
019,31,T-test (Bonferroni),Cue 13,Control,,0.12956555731269254,0.6622707638562837,0.6478277865634627,,,False
019,31,T-test (Bonferroni),Cue 14,Control,,0.002296451856800382,1.082480963600031,0.01148225928400191,,,True
019,31,T-test (Bonferroni),Cue 15,Control,,0.38549555695182147,0.40036690035128664,1.0,,,False
019,31,T-test (Bonferroni),Cue 16,Control,,0.02271956383007314,0.9190166720411292,0.11359781915036571,,,False
019,32,T-test (Bonferroni),Cue 11,Control,,0.08677247751410658,-0.4589827196613214,0.43386238757053286,,,False
019,32,T-test (Bonferroni),Cue 13,Control,,0.05138700073873535,0.6727764677066204,0.2569350036936768,,,False
019,32,T-test (Bonferroni),Cue 14,Control,,0.0021542314611223802,1.5353521523900167,0.0107711573056119,,,True
019,32,T-test (Bonferroni),Cue 15,Control,,0.14029947686070884,0.44929410885719845,0.7014973843035442,,,False
019,32,T-test (Bonferroni),Cue 16,Control,,0.996783882392269,0.0021656163368537484,1.0,,,False
019,33,T-test (Bonferroni),Cue 11,Control,,0.4939114157345543,0.2940607268233275,1.0,,,False
019,33,T-test (Bonferroni),Cue 12,Control,,0.061187302338867336,0.9100958841424263,0.30593651169433667,,,False
019,33,T-test (Bonferroni),Cue 14,Control,,0.09588985788347416,0.6889221162363739,0.4794492894173708,,,False
019,33,T-test (Bonferroni),Cue 15,Control,,0.5615675098851793,0.27077977823219745,1.0,,,False
019,33,T-test (Bonferroni),Cue 16,Control,,0.06087371357671342,0.7464343742295114,0.30436856788356714,,,False
019,34,T-test (Bonferroni),Cue 11,Control,,0.654453163509692,0.21639299860793537,1.0,,,False
019,34,T-test (Bonferroni),Cue 12,Control,,0.08835553283569271,1.1096965469477686,0.44177766417846354,,,False
019,34,T-test (Bonferroni),Cue 13,Control,,0.8790956635578555,0.08833125122235153,1.0,,,False
019,34,T-test (Bonferroni),Cue 15,Control,,0.02034107319092915,0.8173061897799203,0.10170536595464574,,,False
019,34,T-test (Bonferroni),Cue 16,Control,,0.5630322792829492,0.22808644004928347,1.0,,,False
019,35,T-test (Bonferroni),Cue 11,Control,,0.18516393165845796,0.38746923794113175,0.9258196582922897,,,False
019,35,T-test (Bonferroni),Cue 12,Control,,0.7329664432251213,-0.13810343324081353,1.0,,,False
019,35,T-test (Bonferroni),Cue 13,Control,,0.18568886191434095,-0.5059269611820212,0.9284443095717048,,,False
019,35,T-test (Bonferroni),Cue 14,Control,,0.7624231634495313,-0.12752959152085053,1.0,,,False
019,35,T-test (Bonferroni),Cue 16,Control,,0.3091904432816764,0.478766191465797,1.0,,,False
019,36,T-test (Bonferroni),Cue 11,Control,,0.06916329637590586,0.6314020922277781,0.3458164818795293,,,False
019,36,T-test (Bonferroni),Cue 12,Control,,0.49315261617048467,0.3816439556997555,1.0,,,False
019,36,T-test (Bonferroni),Cue 13,Control,,0.9752821364115019,-0.011960394743782965,1.0,,,False
019,36,T-test (Bonferroni),Cue 14,Control,,0.6305450167227669,0.17078187799852662,1.0,,,False
019,36,T-test (Bonferroni),Cue 15,Control,,0.993164135306108,0.004469101071544301,1.0,,,False
023,31,T-test (Bonferroni),Cue 12,Control,,0.09565416496305072,0.46028437709499537,0.4782708248152536,,,False
023,31,T-test (Bonferroni),Cue 13,Control,,0.39609116283627555,0.29347108504823227,1.0,,,False
023,31,T-test (Bonferroni),Cue 14,Control,,0.10995944280652788,0.5494466000289941,0.5497972140326394,,,False
023,31,T-test (Bonferroni),Cue 15,Control,,0.14543050019725987,-0.5239167338948265,0.7271525009862994,,,False
023,31,T-test (Bonferroni),Cue 16,Control,,0.25312837968885715,0.3664236362564992,1.0,,,False
023,32,T-test (Bonferroni),Cue 11,Control,,0.0046688138517506665,1.2417678797782714,0.023344069258753333,,,True
023,32,T-test (Bonferroni),Cue 13,Control,,0.5657566255432549,0.2214151448617363,1.0,,,False
023,32,T-test (Bonferroni),Cue 14,Control,,0.08438320954208599,0.7737831315579484,0.42191604771042995,,,False
023,32,T-test (Bonferroni),Cue 15,Control,,0.007012735054331671,1.445136997643806,0.03506367527165836,,,True
023,32,T-test (Bonferroni),Cue 16,Control,,0.2769212244553784,0.7193705700763049,1.0,,,False
023,33,T-test (Bonferroni),Cue 11,Control,,0.5638138541152132,0.24263647925455967,1.0,,,False
023,33,T-test (Bonferroni),Cue 12,Control,,0.5679383686319949,0.38560980960360114,1.0,,,False
023,33,T-test (Bonferroni),Cue 14,Control,,0.07966491497269136,0.6480160267311295,0.3983245748634568,,,False
023,33,T-test (Bonferroni),Cue 15,Control,,0.9221461732130631,-0.050947876990782515,1.0,,,False
023,33,T-test (Bonferroni),Cue 16,Control,,0.715779432792746,0.12231708642914496,1.0,,,False
023,34,T-test (Bonferroni),Cue 11,Control,,0.0932855890366609,0.7823208258539309,0.4664279451833045,,,False
023,34,T-test (Bonferroni),Cue 12,Control,,0.33557609410183276,0.5645251369493773,1.0,,,False
023,34,T-test (Bonferroni),Cue 13,Control,,0.18219350682386024,0.6412030626912881,0.9109675341193012,,,False
023,34,T-test (Bonferroni),Cue 15,Control,,0.5440133330266206,-0.1532793954634184,1.0,,,False
023,34,T-test (Bonferroni),Cue 16,Control,,0.019183037689493896,0.7561681830733815,0.09591518844746948,,,False
023,35,T-test (Bonferroni),Cue 11,Control,,0.26474089627310826,0.3734388734793117,1.0,,,False
