channel,start_position,f_stat,p_value
019,31,0.930545929730392,0.43066378314201026
019,32,6.137293676916235,0.0038217387254018335
019,33,2.7857692208857383,0.0692938467660121
019,34,3.642226906434352,0.01729714085624832
019,35,8.11529594075521,0.00012455390176005512
019,36,0.3961860625169548,0.7561898543898922
023,31,0.6267678336143626,0.600113440347404
023,32,0.7694158921242154,0.46795366205630184
023,33,0.707962805164595,0.49652358240242944
023,34,0.6711227288130956,0.5729360469597349
023,35,1.3956544244642857,0.25271240980986226
023,36,0.4119255197850184,0.7450033371603344
029,31,2.8126792885893126,0.04553889017206143
029,32,3.1599500482313223,0.04981915293523449
029,33,1.0219519208061696,0.3657795625401016
029,34,5.044617643209067,0.0033934164818527064
029,35,5.278076851596532,0.002657925968088716
029,36,0.9985550771126873,0.3995731050879723
030,31,3.383679621561316,0.022849326503196262
030,32,2.9527728073412005,0.06008885748542778
030,33,0.17743119359394383,0.8378356238745117
030,34,3.535258522475138,0.019628855902579765
030,35,3.6087079371708235,0.018180305690162362
030,36,0.9321499433070252,0.43061934745982766
043,31,2.7933017505621867,0.04662044612938348
043,32,0.9326919382666642,0.39931390575616066
043,33,0.1152263750356927,0.8913517576639358
043,34,1.0171202963827173,0.39113686655198787
043,35,0.15469847362438485,0.9262733126707523
043,36,0.18879102332629694,0.9036460821240768
045,31,1.3049845654977432,0.2796896904655334
045,32,4.4172352134163,0.016383134189505093
045,33,0.6158604698483187,0.5433957385234283
045,34,3.352940484231943,0.02436526826256787
045,35,3.2766256901347814,0.026904028301194923
045,36,1.7107430664434968,0.1740006227882526
