channel,start_position,f_stat,p_value
019,31,0.3580707869518427,0.8375671583706927
019,32,3.2010264240469937,0.019462595202626404
019,33,1.8329994464397275,0.13403571103868567
019,34,2.069778275025186,0.0955341380231389
019,35,3.5709557146924196,0.011174031109701279
019,36,1.1281883115940508,0.3516544876078754
023,31,0.7541249893976413,0.5587035902613899
023,32,0.9903828278006568,0.42039587597546735
023,33,0.4163425570640846,0.7962140380916214
023,34,0.5546828329597763,0.6963329915890389
023,35,1.0109400814448912,0.40903829109769113
023,36,0.5429243131089997,0.7047944399734112
029,31,1.0738655381277398,0.37619151944552615
029,32,1.8851633152749885,0.12577419224695752
029,33,0.6804250472909914,0.6081878373741816
029,34,1.2818211900214551,0.28682744545056726
029,35,0.8676749122947613,0.48867276412918204
029,36,0.9247337562658429,0.45555301047400054
030,31,0.7416574852302549,0.5668562015424441
030,32,1.7677827606503072,0.1482251136205933
030,33,1.5831394815957416,0.19021111922517175
030,34,1.1122237793912442,0.3588720919455177
030,35,0.11947707673029626,0.9750513265607326
030,36,0.4469290463918356,0.774200960308954
043,31,2.408857600708886,0.0575106109416869
043,32,0.49842889694401477,0.7369324207760934
043,33,1.2441399789970893,0.30183307122938374
043,34,0.5339475761364423,0.711251664394474
043,35,0.24706307722699755,0.9103440325965735
043,36,1.4641710115047604,0.2241422191069814
045,31,0.21201488139224725,0.9309252612046127
045,32,2.4325868672365902,0.05796967422972638
045,33,1.0232747653585152,0.4025396320798063
045,34,0.3138384828728816,0.8676770707718189
045,35,3.045334789589834,0.023684443599731538
045,36,1.8715733895482862,0.12692149453835902
