channel,start_position,t_stat,p_ttest
019,35,4.104787915045605,0.0007025851775495758
019,36,-0.411114952593922,0.686337057673802
023,35,0.8203878319502347,0.4288126024047192
023,36,0.5240498905316797,0.6067122368244281
029,35,3.9207482247064824,0.0008446491055884781
029,36,0.9272913836065725,0.362571405797083
030,35,3.0981433967106926,0.005312468232110777
030,36,-0.481011814748321,0.6366659155175662
043,35,-0.253129602516042,0.8039936285916724
043,36,0.10155753124819293,0.9199861925466171
045,35,3.3798129569664446,0.003287534362061931
045,36,-0.7050112754580488,0.4877058259063731
