channel,start_position,f_stat,p_value
019,31,0.49778172894233913,0.48275291718181434
019,32,7.173260826387842,0.009571116085350818
019,33,0.0121623817400105,0.9125298901667566
019,34,0.21315507510347476,0.6458471033178255
019,35,3.1163246071466135,0.05133140274903826
019,36,1.330519873148359,0.27166457407779754
023,31,1.084583521990193,0.3011588772492692
023,32,0.0070346058779519795,0.933441694396285
023,33,0.7587966970609472,0.3869612385623339
023,34,0.005926789271987629,0.9388714494124083
023,35,1.5355137746019132,0.22342139808899947
023,36,1.2706326791125164,0.287746747263172
029,31,1.8539642587659524,0.17756863412273888
029,32,6.989880253414819,0.01048456827923057
029,33,0.8380053845077564,0.36340422696102515
029,34,0.35367745509767806,0.5541033718056191
029,35,4.041666430615905,0.022391604924822832
029,36,1.3188295269987242,0.27472942155043023
030,31,4.096077036668555,0.04669452303559836
030,32,7.666694454086943,0.007505961516330003
030,33,0.5017993740848551,0.48128274738828025
030,34,0.05060053438398048,0.8227272603283695
030,35,1.1804983226673489,0.3139328732022073
030,36,1.196713877478017,0.3089605839297813
043,31,0.8700967294438609,0.3540460921907531
043,32,1.8859839795318538,0.17485211520347996
043,33,0.17712688377373595,0.6752640229549172
043,34,1.188872407057584,0.27958274563511515
043,35,0.206485019465838,0.8139955502528935
043,36,0.0785597902270833,0.9245372006918069
045,31,4.137271525529782,0.04563379645296375
045,32,7.4661430983519645,0.008282138091531282
045,33,0.002602001561168946,0.9594765699830508
045,34,0.00298183909082255,0.9566196791382009
045,35,3.323308621081679,0.04255484406125366
045,36,2.749826181838377,0.07162155289327629
